GENE_CHROMOSOME	GENE_START	GENE_END	GENE_NAME
1	65419	71585	OR4F5
1	134901	139379	AL627309.1
1	367640	368634	OR4F29
1	621059	622053	OR4F16
1	859308	879961	SAMD11
1	879583	894689	NOC2L
1	895964	901099	KLHL17
1	901862	911245	PLEKHN1
1	910584	917473	PERM1
1	934342	935552	HES4
1	936518	949920	ISG15
1	955500	991498	AGRN
1	1006347	1009686	RNF223
1	1017198	1051741	C1orf159
1	1109264	1133315	TTLL10
1	1138888	1141972	TNFRSF18
1	1146720	1149533	TNFRSF4
1	1152288	1167447	SDF4
1	1167617	1170421	B3GALT6
1	1177826	1182102	C1QTNF12
1	1189289	1209265	UBE2J2
1	1215816	1227409	SCNN1D
1	1227770	1244989	ACAP3
1	1243977	1247057	PUSL1
1	1246965	1260071	INTS11
1	1260136	1264276	CPTP
1	1266660	1270694	TAS1R3
1	1270656	1284798	DVL1
1	1288069	1297157	MXRA8
1	1309110	1310875	AURKAIP1
1	1321091	1334715	CCNL2
1	1337289	1342673	MRPL20
1	1353800	1357149	ANKRD65
1	1361508	1363167	TMEM88B
1	1370241	1378262	VWA1
1	1385069	1405543	ATAD3C
1	1407145	1433228	ATAD3B
1	1447542	1470065	ATAD3A
1	1470158	1476004	TMEM240
1	1477053	1510243	SSU72
1	1533392	1535515	FNDC10
1	1550795	1565990	MIB2
1	1567542	1570639	MMP23B
1	1570603	1590473	CDK11B
1	1590990	1624234	SLC35E2B
1	1633818	1655796	CDK11A
1	1656277	1677438	SLC35E2A
1	1682671	1711896	NADK
1	1716724	1822556	GNB1
1	1846547	1848735	CALML6
1	1849029	1850718	TMEM52
1	1853390	1935276	CFAP74
1	1950768	1962197	GABRD
1	1981850	2116834	PRKCZ
1	2115900	2144159	FAAP20
1	2159758	2241652	SKI
1	2252692	2323146	MORN1
1	2323214	2336881	RER1
1	2335403	2345236	PEX10
1	2357419	2436971	PLCH2
1	2439976	2458050	PANK4
1	2460184	2461702	HES5
1	2487078	2496821	TNFRSF14
1	2517930	2522908	PRXL2B
1	2522078	2564455	MMEL1
1	2567415	2718282	TTC34
1	2938031	2939467	ACTRT2
1	2985732	3355185	PRDM16
1	3371229	3397677	ARHGEF16
1	3404515	3528072	MEGF6
1	3541579	3546691	TPRG1L
1	3547331	3569325	WRAP73
1	3569080	3652765	TP73
1	3663024	3688209	CCDC27
1	3689325	3692546	SMIM1
1	3695123	3713062	LRRC47
1	3728650	3773778	CEP104
1	3773831	3801993	DFFB
1	3805689	3816857	C1orf174
1	4714669	4852594	AJAP1
1	5922871	6052533	NPHP4
1	6050987	6161253	KCNAB2
1	6161847	6240381	CHD5
1	6219490	6257817	AL031847.2
1	6245080	6269449	RPL22
1	6265535	6281359	RNF207
1	6281253	6296032	ICMT
1	6304239	6305638	HES3
1	6307413	6321158	GPR153
1	6324329	6454451	ACOT7
1	6472478	6484730	HES2
1	6484836	6521427	ESPN
1	6520846	6526255	TNFRSF25
1	6526152	6580121	PLEKHG5
1	6581407	6614573	NOL9
1	6615367	6639815	TAS1R1
1	6640054	6649340	ZBTB48
1	6650784	6674667	KLHL21
1	6673791	6684090	PHF13
1	6684926	6695646	THAP3
1	6694228	6761984	DNAJC11
1	6845514	7829766	CAMTA1
1	7831356	7841492	VAMP3
1	7844380	7905237	PER3
1	7903143	7913572	UTS2
1	7975954	8003225	TNFRSF9
1	8014351	8045565	PARK7
1	8064464	8086369	ERRFI1
1	8377886	8404227	SLC45A1
1	8412457	8908980	RERE
1	8921059	8939249	ENO1
1	9005926	9035151	CA6
1	9063359	9086404	SLC2A7
1	9095165	9148537	SLC2A5
1	9160364	9189161	GPR157
1	9294834	9331396	H6PD
1	9352953	9429591	SPSB1
1	9599524	9645231	SLC25A33
1	9648969	9674935	TMEM201
1	9711789	9789172	PIK3CD
1	9789084	9884584	CLSTN1
1	9908334	9970394	CTNNBIP1
1	9982171	10003465	LZIC
1	10003486	10045559	NMNAT1
1	10057264	10076079	RBP7
1	10092890	10241297	UBE4B
1	10270863	10441661	KIF1B
1	10458649	10480568	PGD
1	10490159	10512210	CENPS-CORT
1	10490490	10502865	CENPS
1	10509776	10511959	CORT
1	10516579	10532586	DFFA
1	10532345	10690815	PEX14
1	10696661	10856707	CASZ1
1	11006528	11042094	C1orf127
1	11072401	11086477	TARDBP
1	11072719	11090585	AL109811.3
1	11086580	11107296	MASP2
1	11114641	11120077	SRM
1	11126675	11159926	EXOSC10
1	11166592	11322608	MTOR
1	11249412	11256038	ANGPTL7
1	11333263	11356106	UBIAD1
1	11539212	11597608	DISP3
1	11697075	11715842	FBXO2
1	11714432	11723384	FBXO44
1	11724257	11734411	FBXO6
1	11734537	11751707	MAD2L2
1	11751767	11785914	DRAXIN
1	11796141	11814859	AGTRAP
1	11821844	11849642	C1orf167
1	11845780	11866977	MTHFR
1	11866153	11908136	CLCN6
1	11905766	11908402	NPPA
1	11917521	11919002	NPPB
1	11979648	11986485	KIAA2013
1	11994262	12035595	PLOD1
1	12040238	12073571	MFN2
1	12079523	12092102	MIIP
1	12123360	12204264	TNFRSF8
1	12227048	12269285	TNFRSF1B
1	12290087	12572099	VPS13D
